# Per-source-Kreis one-seat-to-ZGB PT entry stops (rail+bus), EPSG:25832. Generated by scripts/extract_incommuter_pt_entry_stops.py from the cordon transit schedule.
source_ars5,stop_id,x,y
03159,152250.link:507967,589004.7222852474,5733796.343067211
03159,155222.link:916442,585198.2747329578,5732806.849871269
03159,155222.link:916443,585198.2747329578,5732806.849871269
03159,156761.link:46075,583351.0104960008,5736290.332889931
03159,156761.link:46078,583351.0104960008,5736290.332889931
03159,157431.link:194413,564239.1605368272,5709722.19592096
03159,157431.link:433764,564239.1605368272,5709722.19592096
03159,161331.link:296586,612115.3696881857,5717044.861528398
03159,161331.link:296587,612115.3696881857,5717044.861528398
03159,163284.link:836028,589092.7186289101,5734306.294893885
03159,163957.link:2265,585447.9923021415,5740573.058426765
03159,163974.link:831766,581872.1162265518,5739183.724767012
03159,163974.link:831767,581872.1162265518,5739183.724767012
03159,164091.link:836027,589113.0127221373,5734333.909395886
03159,166091.link:623457,583728.8587395437,5735228.892118377
03159,166091.link:623458,583728.8587395437,5735228.892118377
03159,168258.link:147470,585182.2905678516,5739096.331120116
03159,168258.link:147471,585182.2905678516,5739096.331120116
03159,169222.link:2250,585181.797610465,5740024.884228605
03159,178395.link:2249,585201.7457844823,5739946.572136956
03159,182248.link:805495,586949.8060985128,5731971.293906668
03159,194102.link:715682,588448.9812564097,5733470.279600605
03159,195103.link:384684,584064.6870523037,5733496.423871553
03159,195103.link:384685,584064.6870523037,5733496.423871553
03159,195849.link:455585,586777.6010363785,5731136.661787469
03159,196842.link:763057,611469.6191790897,5716866.719677648
03159,196842.link:763058,611469.6191790897,5716866.719677648
03159,204049.link:292741,587304.6775792032,5730865.204958472
03159,212775.link:776187,564199.3914995193,5709921.236683798
03159,213871.link:809170,607824.0676882606,5717094.625209561
03159,213871.link:834662,607824.0676882606,5717094.625209561
03159,213871.link:834663,607824.0676882606,5717094.625209561
03159,214181.link:669843,613035.0227056989,5721792.220304429
03159,214181.link:669844,613035.0227056989,5721792.220304429
03159,220736.link:367610,608569.7881423794,5716721.161937599
03159,220736.link:367611,608569.7881423794,5716721.161937599
03159,221393.link:796610,613048.0410225319,5721151.091033309
03159,221393.link:796611,613048.0410225319,5721151.091033309
03159,222718.link:531668,607475.1469242155,5713985.39855387
03159,222718.link:531669,607475.1469242155,5713985.39855387
03159,227748.link:5171,564244.9263115535,5709918.809779404
03159,227748.link:5172,564244.9263115535,5709918.809779404
03159,231160.link:200513,612511.2225903184,5719767.832668296
03159,231160.link:200514,612511.2225903184,5719767.832668296
03159,231345.link:234429,609932.2885381144,5721632.012918545
03159,231345.link:234430,609932.2885381144,5721632.012918545
03159,240957.link:108216,587077.4690479822,5729971.0968875745
03159,243527.link:71820,587429.3285010138,5732334.017732285
03159,243527.link:71821,587429.3285010138,5732334.017732285
03159,243931.link:46081,583227.0734583396,5736456.369891822
03159,243931.link:46082,583227.0734583396,5736456.369891822
03159,24640.link:21226,607306.4513159506,5717505.956113674
03159,24640.link:818953,607306.4513159506,5717505.956113674
03159,246650.link:599789,586883.5469603786,5730264.773747369
03159,246997.link:796608,612705.1806715843,5720736.445806762
03159,246997.link:796609,612705.1806715843,5720736.445806762
03159,247339.link:776186,564201.8480541488,5709913.481763092
03159,25389.link:251665,609899.2520698328,5714612.5827995045
03159,25389.link:251666,609899.2520698328,5714612.5827995045
03159,25558.link:927967,588453.910766002,5731533.245415181
03159,25558.link:927968,588453.910766002,5731533.245415181
03159,258828.link:103512,603084.0198555121,5722515.620396329
03159,258828.link:103513,603084.0198555121,5722515.620396329
03159,262312.link:21144,588364.9882434198,5730316.107821479
03159,262601.link:715683,588394.0230771274,5733438.165913466
03159,266655.link:412297,598014.7480993795,5719888.4022855405
03159,273576.link:815273,600253.142652842,5719890.549331016
03159,274307.link:818452,608130.9344442524,5717021.843529243
03159,274307.link:818453,608130.9344442524,5717021.843529243
03159,27642.link:400850,609886.1787055024,5714515.282885703
03159,27642.link:400851,609886.1787055024,5714515.282885703
03159,277656.link:146084,599371.0321766591,5719953.912296993
03159,277656.link:832136,599371.0321766591,5719953.912296993
03159,278593.link:15466,592280.7792845168,5723745.921816
03159,278998.link:558064,592504.2450483126,5723781.3799581155
03159,281085.link:610292,584777.4054892729,5732970.619367731
03159,281085.link:610293,584777.4054892729,5732970.619367731
03159,28531.link:146085,599348.5227620102,5719971.7152608875
03159,28531.link:832135,599348.5227620102,5719971.7152608875
03159,28653.link:46118,587800.9989697405,5731493.905440283
03159,28737.link:434993,586744.6369460663,5731237.549213932
03159,28737.link:876733,586744.6369460663,5731237.549213932
03159,288964.link:507964,588798.810275936,5733341.827655489
03159,288964.link:507965,588798.810275936,5733341.827655489
03159,292037.link:805494,586851.0436944438,5731906.18124659
03159,293561.link:521539,583653.2118201877,5737884.7959833555
03159,298476.link:76270,564212.0213243705,5709904.378509562
03159,298476.link:76271,564212.0213243705,5709904.378509562
03159,299168.link:682079,602190.0260556053,5721337.209281306
03159,301600.link:200486,612520.2158703852,5720288.286445517
