cell_id,stichtag,ev_share,minx,miny,maxx,maxy,suppressed
5kmN3245E4330,2026-04-01,0.044000000000000004,1127885.9497999996,6857168.988899998,1136070.7342000008,6865374.457000002,False
5kmN3245E4335,2026-04-01,0.06,1136047.606800001,6857141.801399998,1144240.6077000014,6865355.466799997,False
5kmN3245E4340,2026-04-01,0.055,1144209.2208999991,6857106.375600003,1152410.422699999,6865328.2201000005,False
5kmN3245E4345,2026-04-01,0.076,1152370.7765999995,6857062.711599998,1160580.1638000011,6865292.717100002,False
5kmN3245E4350,2026-04-01,0.114,1160532.2586000003,6857010.809799999,1168749.8154999986,6865248.9580999985,False
5kmN3245E4355,2026-04-01,0.077,1168693.6515999995,6856950.670400001,1176919.3625000007,6865196.9432,False
5kmN3245E4360,2026-04-01,0.05,1176854.940299999,6856882.293899998,1185088.7892999984,6865136.672799997,False
5kmN3245E4365,2026-04-01,0.053,1185016.1092999987,6856805.680500001,1193258.0804999992,6865068.1472999975,False
5kmN3245E4370,2026-04-01,0.063,1193177.143199999,6856720.830899999,1201427.2208000012,6864991.3671,False
5kmN3245E4375,2026-04-01,0.045,1201338.0267999992,6856627.745499998,1209596.1948000006,6864906.332699999,False
5kmN3245E4380,2026-04-01,0.062,1209498.7446000017,6856526.424800001,1217764.9869999997,6864813.0446000025,False
5kmN3245E4385,2026-04-01,0.052000000000000005,1217659.2813999988,6856416.869599998,1225933.5821000002,6864711.503300004,False
5kmN3245E4390,2026-04-01,0.022000000000000002,1225819.6218000017,6856299.0803999975,1234101.9646999985,6864601.7095,False
5kmN3245E4395,2026-04-01,0.022000000000000002,1233979.750599999,6856173.0581,1242270.1193999983,6864483.663800001,False
5kmN3245E4400,2026-04-01,0.039,1242139.6521999985,6856038.803199999,1250438.0309000015,6864357.366999999,False
5kmN3245E4405,2026-04-01,0.039,1250299.3115999997,6855896.316799998,1258605.683699999,6864222.819899999,False
5kmN3245E4410,2026-04-01,0.031,1258458.7131999992,6855745.599600002,1266773.0623999983,6864080.023199998,False
5kmN3245E4415,2026-04-01,0.016,1266617.8418999985,6855586.652500004,1274940.1517999992,6863928.977799997,False
5kmN3245E4420,2026-04-01,0.063,1274776.6821999997,6855419.476599999,1283106.9364,6863769.684799999,False
5kmN3245E4425,2026-04-01,0.040999999999999995,1282935.2188999988,6855244.072899997,1291273.4008999988,6863602.144900002,False
