school_id,name,level,capacity,ags8,kreis5,x,y,geocode_quality,dist_to_osm_edu_m,validated
abs_45354,Werla-Schule,sekundar_1,279.0,03158039,03158,606042.2960722886,5764156.89728813,address,19.90699831323452,True
abs_46796,Eichendorffschule,sekundar_1,401.0,03103000,03103,621666.4392895935,5808794.849808073,address,3.1871729518951026,True
abs_46838,Hauptschule Fallersleben,sekundar_1,252.0,03103000,03103,616538.3054272484,5808176.914904511,address,11.801118175173528,True
abs_47788,Grundschule Lindenberg,grundschule,154.0,03101000,03101,606677.8803978552,5789177.369241377,address,7.726737662745036,True
abs_47831,Grundschule Querum,grundschule,241.0,03101000,03101,606370.0264205091,5794685.115891773,address,0.08638779750744656,True
abs_47867,Grund- und Hauptschule Rüningen,grundschule,77.0,03101000,03101,602593.7013143122,5786917.39704686,address,1254.9087487334955,False
abs_47867,Grund- und Hauptschule Rüningen,sekundar_1,193.0,03101000,03101,602593.7013143122,5786917.39704686,address,1254.9087487334955,False
abs_47909,Grundschule Wenden,grundschule,215.0,03101000,03101,602836.6351465896,5798592.16872216,address,13.567499812049945,True
abs_47934,Hauptschule An der Klunkau,sekundar_1,245.0,03102000,03102,590669.635003445,5778529.2083014725,address,9.462961143095455,True
abs_47971,Grundschule Steterburg,grundschule,260.0,03102000,03102,600194.6966188218,5783249.568450028,address,62.145227479170565,True
abs_48008,Verlässliche Grundschule Liebenburg,grundschule,122.0,03153008,03153,598017.1462533721,5764422.423049563,address,17.411694567240577,True
abs_48045,Wurmbergschule,grundschule,77.0,03153016,03153,610922.419745458,5731611.052145765,address,19.71565891660467,True
abs_48148,Haupt- und Realschule Königslutter,sekundar_1,358.0,03154013,03154,623842.5098189777,5791570.2105292035,address,20.885774544860475,True
abs_48227,Eichendorffschule Schöningen,sekundar_1,216.0,03154019,03154,634429.2439182625,5778794.68325945,address,28.061380790274892,True
abs_48264,Carl-Friedrich-Gauß-Schule,sekundar_1,284.0,03154024,03154,632037.2584594225,5808365.04898101,address,33.48647985305508,True
abs_48306,Oberschule Lehre,sekundar_1,254.0,03154014,03154,613921.5043064567,5799022.40975088,address,15.491230076887534,True
abs_48331,Schule im Innerstetal,sekundar_1,213.0,03158002,03158,583892.1810665936,5771966.780430215,address,8.7689761992796,True
abs_48379,Oberschule Sickte,sekundar_1,738.0,03158030,03158,611854.0264353888,5786245.134437795,address,62.43435949626211,True
abs_48410,VGS Wendeburg,grundschule,317.0,03157008,03157,594885.1231484098,5798156.189939793,address,9.062333564206572,True
abs_49190,Aueschule Wendeburg,sekundar_1,298.0,03157008,03157,594519.6058978189,5797931.455155655,address,18.365287261226253,True
abs_49414,Oberschule Braunlage,sekundar_1,142.0,03153016,03153,611458.8543095988,5731962.45864456,address,22.065090472453996,True
abs_60756,Realschule Gebhardshagen,sekundar_1,327.0,03102000,03102,593377.821056292,5773398.598365476,address,13.855063522186695,True
